id_product, title, image, price, quantity, category, caption, description, brand, type, volume
0@'Pure Game Edition 2022'@'images/GUWXeD9t/adidas-pure-game-edition-2022-toaletna-voda-pre-muzov_.jpg'@'7.9'@'875'@'Toaletná voda'@'toaletná voda pre mužov'@'Mužnosť, silu a odvahu, ktoré sú vo vás ukryté, vám pomôže odhaliť pánska toaletná voda Adidas Pure Game Edition 2022. Vôňa prekypuje maskulinitou a dokonale podčiarkne váš charakter na každom kroku.'@'Adidas'@'Aromatická'@'50'
0@'Ice Dive Edition 2022'@'images/wyiDBJdj/adidas-ice-dive-edition-2022-toaletna-voda-pre-muzov_.jpg'@'8.1'@'878'@'Toaletná voda'@'toaletná voda pre mužov'@'Mužnosť, silu a odvahu, ktoré sú vo vás ukryté, vám pomôže odhaliť pánska toaletná voda Adidas Ice Dive Edition 2022. Vôňa prekypuje maskulinitou a dokonale podčiarkne váš charakter na každom kroku.'@'Adidas'@'Ovocná'@'50'
0@'Team Force Edition 2022'@'images/TOajftFt/adidas_team_force.png'@'2.8'@'1055'@'Parfémy'@'parfémovaný telový sprej'@'Značka Adidas je u väčšiny známa predovšetkým v spojitosti s produkciou športového oblečenia, obuvi a ďalších doplnkov. Vznik značky sa datuje do roku 1925 a je spojený s menom Adolf Dassler, jej zakladateľom. Adidas dnes patrí k najpredávanejším výrobcom športových produktov.'@'Adidas'@'Citrusová'@'200'
0@'Victory League Edition 2022'@'images/j0kLfMD5/adidas-victory-league-edition-2022-toaletna-voda-pre-muzov_.jpg'@'8.1'@'418'@'Toaletná voda'@'toaletná voda pre mužov'@'Novú závislosť, ktorej sa nebudete chcieť vzdať, predstavuje toaletná voda pre mužov Adidas Victory League Edition 2022. Presvedčí vás hneď pri prvom privoňaní, že odteraz bude neodmysliteľnou súčasťou každého vášho dňa.'@'Adidas'@'Korenistá'@'50'
0@'Team Force Edition 2022'@'images/EmDSvNnX/adidas-team-force-edition-2022-toaletna-voda-pre-muzov_.jpg'@'5'@'310'@'Toaletná voda'@'toaletná voda pre mužov'@'Mužnosť, silu a odvahu, ktoré sú vo vás ukryté, vám pomôže odhaliť pánska toaletná voda Adidas Team Force Edition 2022. Vôňa prekypuje maskulinitou a dokonale podčiarkne váš charakter na každom kroku.'@'Adidas'@'Citrusová'@'50'
0@'Dynamic Pulse Edition 2022'@'images/Qvxgiiov/adidas-dynamic-pulse-edition-2022-toaletna-voda-pre-muzov_.jpg'@'8.1'@'684'@'Toaletná voda'@'toaletná voda pre mužov'@'Ľahká, svieža a zároveň nezameniteľná. Toaletná voda pre mužov Adidas Dynamic Pulse Edition 2022 vás dostane jemnou, sofistikovanou vonnou kompozíciou, ktorá je ako stvorená na každodenné nosenie.'@'Adidas'@'Ovocná'@'50'
0@'Victory League Edition 2022'@'images/OhyDFwKI/victory.png'@'2.9'@'654'@'Parfémy'@'parfémovaný telový sprej'@'Pre dobrodruha telom aj dušou. Telový sprej Adidas Victory League Edition 2022 je ako stvorený pre moderného muža, ktorý miluje výzvy a žiadna prekážka mu nezabráni v ceste za jeho snami.'@'Adidas'@'Korenistá'@'200'
0@'Pure Game Edition 2022'@'images/1w4rArE1/puregame.png'@'2.9'@'632'@'Parfémy'@'parfémovaný telový sprej'@'Pánsky telový sprej Adidas Pure Game Edition 2022 je skvelým doplnkom vône z rovnomennej kolekcie. Ráno použite intenzívnejšiu vôňu, počas dňa potom stačí pokožku kedykoľvek osviežiť telovým sprejom.'@'Adidas'@'Aromatická'@'150'
0@'After Sport'@'images/cbxZB8o2/aftersport.png'@'2.9'@'357'@'Parfémy'@'parfémovaný telový sprej'@'Pánsky telový sprej Adidas After Sport je skvelým doplnkom vône z rovnomennej kolekcie. Ráno použite intenzívnejšiu vôňu, počas dňa potom stačí pokožku kedykoľvek osviežiť telovým sprejom.'@'Adidas'@'Aromatická'@'150'
0@'Culture of Sport Strike'@'images/2mnDQDAr/adidas-culture-of-sport-strike-toaletna-voda-pre-muzov_.jpg'@'25.1'@'87'@'Toaletná voda'@'toaletná voda pre mužov'@'Nedajte sa ničím zastaviť a doprajte si vzpruhu v akejkoľvek situácii. Toaletná voda pre mužov Adidas Culture of Sport Strike vám zaistí okamžitý prílev energie na zmyslovej úrovni. Povzbudí vás tak, že všetko zvládnete s prehľadom a ľahkosťou.'@'Adidas'@'Fougerova'@'50'
0@'Culture of Sport Charge'@'images/q3nP9hlV/adidas-culture-of-sport-charge-toaletna-voda-pre-muzov_.jpg'@'25.1'@'654'@'Toaletná voda'@'toaletná voda pre mužov'@'Ľahká, svieža a zároveň nezameniteľná. Toaletná voda pre mužov Adidas Culture of Sport Charge vás dostane jemnou, sofistikovanou vonnou kompozíciou, ktorá je ako stvorená na každodenné nosenie.'@'Adidas'@'Citrusová'@'50'
0@'UEFA CL Champions'@'images/Ye8MHfGK/adidas-uefa-champions-league-champions-intense-parfumovana-voda-pre-muzov_.jpg'@'12.30'@'152'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Ak si neviete predstaviť deň bez športu a nevynecháte žiadny tréning, tak sa parfumovaná voda pre mužov Adidas UEFA Champions League Champions Intense stane vaším spoľahlivým sparingpartnerom. Užite si prílev novej energie a nekonečnej sviežosti.'@'Adidas'@'Kvetinová'@'100'
0@'Team Five'@'images/xASvqmcC/adidas-team-five-toaletna-voda-pre-muzov___32.jpg'@'12.25'@'321'@'Toaletná voda'@'toaletná voda pre mužov'@'Ak si neviete predstaviť deň bez športu a nevynecháte žiadny tréning, tak sa toaletná voda pre mužov Adidas Team Five stane vaším spoľahlivým sparingpartnerom. Užite si prílev novej energie a nekonečnej sviežosti.'@'Adidas'@'Aromatická'@'100'
0@'Ice Dive'@'images/3yteDJ4f/dive.png'@'9.23'@'784'@'Parfémy'@'telový sprej pre mužov'@'Adidas Ice Dive je chladivá korenistá vôňa pre muža, ktorú navrhol Philippe Bousseton. Vo vrchných tónoch sa rafinovane prepája aróma kiwi, mandarínky, yuzu a grapefruitu s levanduľou, mätou, anízom a bergamotom. Toaletná voda v srdci uchováva pikantnú zmes santalového dreva, pačuli a pelargónie. V základe sa rozvíjajú fazule Tonka, pižmo, vanilka, ambra a korenie. Kolekcia bola uvedená na trh v roku 2001.'@'Adidas'@'Aromatická'@'100'
0@'UEFA CL Dare Edition'@''@'9.87'@'325'@'Toaletná voda'@'toaletná voda pre mužov'@'Nový deň, nová príležitosť zdolávať výzvy. Toaletná voda pre mužov Adidas UEFA Champions League Dare Edition osvieži vašu myseľ a vy tak môžete smelo nasledovať svoj inštinkt. Vydajte sa v ústrety každodennému dobrodružstvu.'@'Adidas'@'Citrusová'@'100'
0@'Ice Dive'@'images/oDkklDLm/adidas-ice-dive-toaletna-voda-pre-muzov___3.jpg'@'14.80'@'243'@'Toaletná voda'@'toaletná voda pre mužov'@'Adidas Ice Dive je ľadovo-chladivá pánska vôňa. Tento parfém sa bude páčiť všetkým aktívnym a odvážnym mužom, ktorí radi športujú a chcú si naplno užiť každý svoj ​​deň. Parfém Ice Dive vás prekvapí svojou nadčasovosťou! Jedinečný mix sviežich ovocných tónov sa jemne mieša s korenenými akordmi a spoločne tak vytvárajú nezameniteľnú a príťažlivú arómu.'@'Adidas'@'Korenistá'@'50'
